circular_no,name,date,link
10.1.21,Appointment of Independent Engineer (IE) / Authority Engineer (AE) / Supervision Consultant (SC),21.05.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.21.pdf
10.1.20,Guidelines on number of lanes at toll plazas to be designed duly considering hybrid ETC lanes and deciding Change of Scope in such works in ongoing Contracts.,18.10.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.20.pdf
10.1.19,Mandatory 15 days certification course for Road Safety Expert-reg.,03.10.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.19.pdf
10.1.18,Regarding Project Proposals in DPR Stage- Provision of Vehicular Underpass/Flyover/ Overpass.,30.04.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.18.pdf
10.1.17,Acceptance of Single Tender for Consultancy Services ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“Clarification-reg.,23.06.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.17.pdf
10.1.16,Guidelines for preparation of Detailed Project Reports (DPRs).,12.06.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.16.pdf
10.1.15,Single Tender for Consultancy Services Clarification ? reg.,10.12.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.15.pdf
10.1.14,Submission of fake/incorrect/inflated CVs.,26.11.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.14.pdf
10.1.13,NHAI is preparing a set of key performance indicators (KPI) for evaluation and assessment of performance of the consultancy firms working with NHAI.,12.05.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.13.pdf
10.1.12,Points to be covered in the RFP documents of Consultancy Assignment on National Highways & related Centrally Sponsored Works.,25.02.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.12.pdf
10.1.11,Review of procurement procedure of Independent Engineer and other consultants for BOT and EPC Projects.,02.09.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.11.pdf
10.1.10,Delegation of Power during Intermediate stages in selection of consultants/concessions and composition of Evolution Committee.,25.07.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.10.pdf
10.1.8,Standard Sub-Criteria for evaluation of RFP proposal for Appointment of Independent Engineer for DBFOT Project of NHAI ? Corrigendum reg.,27.07.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.8.pdf
10.1.7,Standard Sub-Criteria for evaluation of RFP proposal for Appointment of Independent Engineer for DBFOT Projects of  NHAI.,05.07.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.7.pdf
10.1.6,RFP for appointment of Independent Engineer for 4-laning /6-laning projects ? Amendment to RFP.,07.01.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.6.pdf
10.1.5,Relaxation in upper age limit for key personnel in Supervision Consultancy Services.,19.11.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.5.pdf
10.1.4,Introduction of provision of engagement of Horticulturist in the scope of work of Independent Engineers for BOT projects,06.04.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.4.pdf
10.1.3,Evolving a procedure to check the authenticity of documents submitted by the consultants.,15.07.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.3.pdf
10.1.2,General issues of Key Personnel in various Consultancy projects ?reg.,11.10.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.2.pdf
10.1.1,Evaluation procedure of bids received from Consultancy firms for DPR preparation.,07.12.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.1.pdf
10.1.9,Review of procurement procedure in all types of Consultancy Procurement.,03.11.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/10.1.9.pdf
10.2.44,Standard Request for Pre-Qualification (RFQ) for the Empanelment of Agencies for Implementing Maintenance Works to be taken up on Risk and Cost of the Concessionaire/ Contractor - reg.,03.03.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.44.pdf
10.2.43,SOP for Checks & Control on Quality of Factory Manufactured material/Products being used in NHAI Projects,20.02.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.43.pdf
10.2.42,"Clarification on considering experience of In-hand DPR of National Highways Works of other Executing Agencies of MoRT&H (i.e. MoRTH, NHIDCL, PWD NH Wing, BRO, State Bridge & Road Corporations) during evaluation of Bids for Authority Engineer/Independent Engineer Services - reg.",18.02.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.42.pdf
10.2.41,Mandatory Onboarding of AE/IE before Commencement of Services/ Mandatory Onboarding of Contractor before Appointed Date (AD) - reg.,11.02.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.41.pdf
10.2.40,Approval and Installation of Metal Beam Crash Carrier - reg.,17.12.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.40.pdf
10.2.39,"Amendment to Policy Circular No. 10.2.34/2024 dated 10th Jan,2024 regarding “SOP to improve Authority Engineer's/ Independent Engineer's/ Supervision Consultant's performance and better Contract Administration"".",18.09.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.39.pdf
10.2.38,Attendance Management System (AMS) for AEs/ IEs/ SCs of NHAI- reg.,04.09.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.38.pdf
10.2.37,Standard Operating Procedure (SOP) for Implementation of Risk & Cost Measures - reg.,08.07.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.37.pdf
10.2.36,SOP for interaction by Interview Committee with Key Personnel of Authority Engineer/ Independent Engineer/ Supervision Consultant  through  SRD&Q Division – reg.,15.05.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.36.pdf
10.2.35,SOP for Interaction by Interview Committee with Key Personnel of Authority Engineer/ Independent Engineer/ Supervision Consultant through SRD&Q Division – reg.,23.01.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.35.pdf
10.2.34,SOP to improve Authority’s Engineer’s/ Independent Engineer’s/ Supervision Consultant’s Performance and better Contract Administration.-reg.,10.01.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.34.pdf
10.2.33,"माह के दौरान निर्धारित समय के 90% तक अनुपलब्धता के मामले में एई/आईई/एससी के परामर्श समझौते के लिए मासिक चालान से कटौती के संबंध में स्पष्टीकरण।
Clarification regarding deductions from the monthly invoices for the consultancy agreement of AE/IE/SC in case of non-availability for 90% of stipulated time during the month.",20.07.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.33.pdf
10.2.32,“Amendments to Standard RFP Documents for engagement of Consultancy Services for  Authority’s Engineer(AE)/Independent Engineer (IE)/ Supervision Consultant (SC) of NH Projects regarding - Issue of clarification regarding Reduction of Remuneration for attendance less than 90% of Key personnel/Sub Key Professional for Civil projects”,05.12.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.32.pdf
10.2.31,Technical Scrutiny of DPR - Site Inspection to verify Project Facilities proposed in Technical Schedules/DPR of each project before submitting the project for appraisal – reg.,18.05.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.31.pdf
10.2.30,Engagement of Financial Consultants for Evaluation of Bids of supervision Consultant (SC)/Authority Engineer (AE)/Independent Engineer (IE) and other assignments of Technical Consultants for NHAI’s Projects- reg,04.10.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.30.pdf
10.2.29,Engagement of Financial Consultants for Evaluation of Bids of Supervision Consultants (SC)/Authority Engineer (AE)/Independent Engineer (IE) and other Assignments of Technical Consultants for NHAI`s Projects - revision in fee-reg.,23.04.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.29.pdf
10.2.28,Attendance Management System (AMS) for NHAI`s AEs/IEs/ Consultant- reg.,15.01.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.28.pdf
10.2.27,SOP for rates of network Survey Vehicle (NSV) Survey till empanelment of agencies-reg.,15.01.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.27.pdf
10.2.26,Mandatory Association of the Engineering/Technical Institutes who adopted NH stretches under MoU with NHAI in preparation of DPR/Feasibility Report.,03.11.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.26.pdf
10.2.25,Finalization of Extension of Time (EOT) and Change of Scope (COS) proposals in Consultancy Contracts – Reg.,28.09.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.25.pdf
10.2.24,Peer Review of DPRs by engaging retired government officers - Reg.,22.07.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.24.pdf
10.2.23,Uniform policy to decide the deterrent action against the consulting firms/ key personnel - Reg.,20.07.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.23.pdf
10.2.22,Replacement of Key Personnel in case of time extension under consultancy agreements of Authority Engineer/ Independent Engineer/ Supervision Consultant in consultancy contract agreements on the basis of RFPs issued prior to 10.11.2017.,17.03.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.22.pdf
10.2.21,Engagement of Financial Consultants for Evaluation of bids  of SC /AE/IE  and other assignment of Technical Consultant for NHAI projects reg.),28.02.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.21.pdf
10.2.20,Engagement of Financial Consultants for Evaluation of Bids of Authority Engineer (AE)/ Independent Engineer (IE) and other consultants for NHAI Projects.,27.09.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.20.pdf
10.2.19,Discontinuation of issuance of circulars seeking details of ongoing consultancies & deterrent actions on consultants/ personnel - Reg.,05.08.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.19.pdf
10.2.18,Deterrent action against defaulting consultants-Standing committee of CGMs reg.,11.06.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.18.pdf
10.2.17,Consideration of experience certificate produced by the Consulting Firms in respect of usage of equipment in the assignment for DPR/IE/AE services.,25.02.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.17.pdf
10.2.16,Generic issues arising in evaluation of Technical Bids in the consultancy Assignements of Authority Engineer/ independent engineer/Supervision Consultant.,07.09.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.16.pdf
10.2.15,"Deployment of key personnel of Independent Engineer(IE)/ Authority Engineer (AE)/	Supervision Consultant (SC) for Under Implementation (UI) and O&M of Completed Projects - reg.",18.07.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.15.pdf
10.2.14,Deterrent action against defaulting Consultants - Standing Committee of CGMs,20.09.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.14.pdf
10.2.13,Provision of Consulting Services for NHAI Projects ? Standard of Performance reg.,27.11.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.13.pdf
10.2.12,Replacement key personnel in consultancy assignments (Authority Engineer and Independent Engineer) if debarred during the period after receipt of the bid and before award of the contract.,27.11.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.12.pdf
10.2.11,Guidelines regarding Extension of Time cases in Consultancy Contracts.,09.05.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.11.pdf
10.2.10,Guidelines for executing/implementing Consultancy Assignment on National Highways & related Centrally Sponsored Works.,26.02.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.10.pdf
10.2.9,Constitution of Settlement Negotiation Committee for Consultancy Contracts.,22.01.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.9.pdf
10.2.8,Contract Agreements (EPC Works)/Concession Agreements (BOt/Annuity Projects)/Consultancy Agreements for Feasibility Study & DPR/Supervision Consultancy and Agreements for Independent Consultancy Services ? Authorized Representative of Employer (NHAI).,06.06.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.8.pdf
10.2.7,Cost Methodology for Estimation of Highway Projects under BOT.,08.12.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.7.pdf
10.2.6,Inviting suggestions/ comments of State Authorities while finalizing the DPRs.,03.03.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.6.pdf
10.2.5,"Performance rating of agencies deployed for Project Supervision Consultancy including formulation of monitoring system,to track performance",22.01.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.5.pdf
10.2.4,Delegation of powers to remove/replace staff of consultants.,20.07.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.4.pdf
10.2.3,Relaxation in qualification criteria for Survey Engineer engaged by Independent Consultants as sub professional staff ongoing BOT Project.,23.01.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.3.pdf
10.2.2,"Guidelines for approval of variations,grant of EOT,sanction of estimates,award of work orders/contracts,release of payments,etc.",12.07.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.2.pdf
10.2.1,Guidelines for award of additional work to DPR/Supervision Consultants.,28.08.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/10.2.1.pdf
10.3.9,The ambiguity in provision for payment of final stage payment to DPR consultant in case concession agreement is not executed within 1 year of the date of agreement (effective date) of consultancy assignment.,23.07.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/10.3.9.pdf
10.3.8,Clarification to the policy circular no. 59/2009 dated 13.10.2009 ? regarding payment of escalation to the Consultants/Independent Engineer/Independent consultant where there is no provision of escalation in the Contract- reg.,04.12.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/10.3.8.pdf
10.3.7,Remuneration for period less than one month for personnel of Independent Engineer and Supervision Consultant ? clarification reg.,10.09.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/10.3.7.pdf
10.3.6,Review of Foreign Currency component as a part of Financial proposal.,21.11.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/10.3.6.pdf
10.3.5,Guideline for reimbursement of Service Tax to Consultants/Contractors in NHAI.,18.11.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/10.3.5.pdf
10.3.4,Increase in the remuneration and reimbursable costs payable to Supervision Consultants for the contracts awarded long ago and where the concerned civil work contracts have not yet been completed.,06.08.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/10.3.4.pdf
10.3.3,Guidelines for payment to DPR consultant for additional work on account restructuring of project.,19.05.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/10.3.3.pdf
10.3.2,Guidelines on incidence of Tax on payments to Consultants in Joint Venture/association between foreign consultant and local consultants.,17.01.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/10.3.2.pdf
10.3.1,Guidelines on Professional Liability Insurance,01.04.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/10.3.1.pdf
17.1.22,Procurement of user fee collection agency through DGR system,24.05.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.22.pdf
17.1.21,Procurement of user fee collection agency,14.10.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.21.pdf
17.1.20,Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR),23.09.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.20.pdf
17.1.19,Payment of dues in r/o wages and re-imbursement claims to the collection agency,24.10.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.19.pdf
17.1.18,Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR),27.08.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.18.pdf
17.1.17,Composition of the committee for procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR),26.05.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.17.pdf
17.1.16,Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR),23.05.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.16.pdf
17.1.15,Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR),01.05.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.15.pdf
17.1.14,Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR),15.06.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.14.pdf
17.1.13,DGR instructions for Toll Plaza Agency,25.07.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.13.pdf
17.1.12,DGR sponsored Ex-servicemen for collection of user fee,17.03.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.12.pdf
17.1.11,Standard format of contract to be entered into with DGR sponsored ex-servicemen for department collection of user fee,27.07.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.11.pdf
17.1.10,DGR sponsorship of ex-servicemen for toll plazas of NHAI,11.07.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.10.pdf
17.1.9,Fee collection through DGR sponsored Ex-servicemen,06.01.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.9.pdf
17.1.8,Standard format of contract to be entered into with DGR sponsored ex-servicemen for departmental collection of user fee,13.10.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.8.pdf
17.1.7,Engagement of DGR sponsored ex-servicemen for fee collection,01.07.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.7.pdf
17.1.6,Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR),20.02.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.6.pdf
17.1.5,Engagement of fee (toll) collecting agency for collection of fee,06.01.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.5.pdf
17.1.4,Method of selection and selection criteria out of ex-servicemen sponsored by DGR for departmental fee collection,15.11.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.4.pdf
17.1.3,Engagement of fee (toll) collecting agency for collection of fee,08.11.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.3.pdf
17.1.2,Advance planning for levy of fees (toll),22.10.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.2.pdf
17.1.1,Engagement of fee (toll) collecting agency for collection of fee (toll) on the bridges,09.10.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/17.1.1.pdf
17.2.11,Revision in wage structure payable to ex-servicemen,08.06.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.11.pdf
17.2.9,Revision in wage structure payable to ex-servicemen,19.03.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.9.pdf
17.2.10,Revision in wage structure payable to ex-servicemen,11.02.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.10.pdf
17.2.8,Revision in wage structure payable to ex-servicemen,22.05.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.8.pdf
17.2.7,Revision in wage structure payable to ex-servicemen,17.04.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.7.pdf
17.2.6,Revision in wage structure payable to ex-servicemen,19.10.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.6.pdf
17.2.5,Revision in wage structure payable to ex-servicemen,30.04.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.5.pdf
17.2.4,Revised wage structure payable to ex-servicemen/ex-servicement agencies sponsored by DGR,17.11.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.4.pdf
17.2.3,Sponsorship of ex-servicemen for fee collection,28.08.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.3.pdf
17.2.2,Revised wages payable to ex-servicemen/ex-servicemen agencies sponsored by Dte. General of Resettlement,05.06.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.2.pdf
17.2.1,Revision of minimum wages payable to ex-servicemen/ex-servicemen agencies sponsored by Directorate General Resettlement (DGR),17.10.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/17.2.1.pdf
17.3.7,Revision of user Fee Rates w.e.f. 01.04.2013 under Public Funded/ Annuity Projects.,29.03.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/17.3.7.pdf
17.3.6,Advance planning for Levy of Fees (Toll) on Sections under Public Funded Projects : Revision of Index Rate of Fee,29.07.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/17.3.6.pdf
17.3.5,Advance planning for levy of fee (toll) on sections/newly constructed bridges/bypasses under public funded projects : revision of index rate of fee,14.06.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/17.3.5.pdf
17.3.4,Advance Planning for Levy of Fee (Toll) on Sections/newly constructed bridges/bypasses under Public Funded Projects : Revision of Index Rate of Fee,22.06.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/17.3.4.pdf
17.3.3,Advance planning for levy fees (Toll) on sections/newly constructed bridges/bypasses under Public Funded projects : Revision of Index Rate of Fee,17.06.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/17.3.3.pdf
17.3.2,Advance planning for levy of fees (toll) on sections / newly constructed bridges / bypasses under public funded projects: revision of index rate of fee,21.06.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/17.3.2.pdf
17.3.1,Advance planning for levy of fees (toll) on section / newly constructed bridges / bypasses under public funded projects : revision of index rate of fee,22.07.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/17.3.1.pdf
17.4.17,Toll collection contract of NHAI- Clause 19 on penal interest for delayed payments by the contractors - Method of penal interest calculation.,20.03.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.17.pdf
17.4.15,Departmental collection of User Fee by the PDs,19.04.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.15.pdf
17.4.14,Guidelines for procurement of fee collection agencies through competitive bidding system - amendment of clause 3 (vii) of circular no. 122,23.07.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.14.pdf
17.4.13,Guidelines for procurement of fee collection agencies through Competitive Bidding System,22.06.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.13.pdf
17.4.12,Guidelines for procurement of collection agencies through Competitive Bidding System,24.05.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.12.pdf
17.4.11,Procurement of fee collecting agencies through open competitive bidding system,19.02.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.11.pdf
17.4.10,Procurement of fee collecting agencies through open competitive bidding system,22.12.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.10.pdf
17.4.9,Procurement of fee collecting agencies through open competitive bidding system,26.11.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.9.pdf
17.4.8,Procurement of fee collecting agencies through Open Competitive Bidding System,03.11.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.8.pdf
17.4.7,Guidelines for procurement of collection agencies through Competitive Bidding System,21.10.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.7.pdf
17.4.6,Collection of user fee through private contractor,13.04.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.6.pdf
17.4.5,Legal opinion on the matter of stamp duty,31.03.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.5.pdf
17.4.16,Constitution of a Standing Committee for matters relating to collection of user fee (Toll) through private contractors.,21.11.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.16.pdf
17.4.4,Method of collection of user fee and maintenance etc. :Public Funded Projects and Annuity based BOT Project.,01.10.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.4.pdf
17.4.3,Experience for collection of user fee through Private Contractors,08.04.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.3.pdf
17.4.2,Collection of user fee through private contractor on the basis of competitive bidding,20.10.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.2.pdf
17.4.1,Responsibility regarding deposit/receipt and collection of fee (toll) under system of departmental collection or through franchisee,02.06.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/17.4.1.pdf
17.5.91,Policy Guidelines for the User Fee Plazas closed or likely to be closed for more than 30 days due to Farmers’ Agitation or any Other Similar Reasons -reg.,26.03.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.91.pdf
17.5.90,Relief to User Fee Collection Agencies in Case of Suspension of Fee Collection due to Farmers' Agitation in the State of Punjab and Haryana- reg.,03.01.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.90.pdf
17.5.89,Amendments in the provisions of Toll Plaza consequent upon implementation of Electronic Toll Collection (ETC)/ FASTag on all lanes,19.08.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.89.pdf
17.5.88,Implementation of ETC system and O&M Services at NH Fee Plazas through System Integrators empanelled with IHMCL -reg.,10.05.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.88.pdf
17.5.87,Standard Operating Procedure for ensuring Operational Transparency in Tolling Operation especially with respect to cash and overload fee collection. – reg.,25.01.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.87.pdf
17.5.86,"टोल प्लाजा पर हिंसा/प्रत्याशित हिंसा के दौरान मानक संचालन प्रक्रिया के संबंध में।
Standard Operating Procedure during Violence/Anticipated Violence at Toll Plaza – reg.",05.10.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.86.pdf
17.5.85,Standard Operating Procedure for Go-Live of Public Toll Plazas- reg.,31.07.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.85.pdf
17.5.84,Standard Operating Procedure for Monitoring of payment of remittance made by User Fee Collection Agencies - reg.,22.11.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.84.pdf
17.5.83,Implementation of ETC system and O&M services at NH fee plazas through System Integrators empanelled with IHMCL – Reg.,17.01.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.83.pdf
17.5.82,Amendments in the provisions of Toll Plaza consequent upon implementation of Electronic Toll Collection (ETC)/ FASTag on all lanes.,24.05.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.82.pdf
17.5.81,Relief of FMC benefits to user fee agencies which were at default to the contractual obligation as on 19.02.2020 due to non-deposition of due  remittance,30.04.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.81.pdf
17.5.80,Atmanirbhar Bharat: Relief for Contractors/developers of Road Sector-Direction for implementation of relief to User Fee Collection Contractors on Public Funded Projects- Relief in interest rate for payment of remittance.,06.04.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.80.pdf
17.5.79,Atmanirbhar Bharat: Relief for contractors /developers of road sector - directions for implementation of relief to User Fee Collection Contractors on Public Funded Projects.,28.05.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.79.pdf
17.5.78,Implementation of Hybrid ETC System (HES) in all lanes of Toll / User Fee Plazas along the National Highways-Standard Operating Procedure for management of monthly passes through FASTag-reg.,16.02.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.78.pdf
17.5.77,Location of Toll Plazas on National Highways - reg.,15.09.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.77.pdf
17.5.76,Constitution of the 3 CGMs Committee for negotiation and One Time Amicable Settlement of disputes/ claims pertaining to toll collection of various Public Funded Toll Plazas.,03.03.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.76.pdf
17.5.75,"Standardization of uniform of toll collection staff; user fee receipts, user fee display boards at toll booths at both NHAI and Concessionaires Toll Plazas",02.02.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.75.pdf
17.5.74,Prevention of overloading at Toll Plazas on NH Sections- Amendment to Fee Rules dated 16.12.2013 of MoRTH (G.S.R.778 (E)] and Policy Circular dated 05.05.2014 of NHAI (TECH-154/2014)- Strict implmenetation of removal of excess load to permit the vehicle for further use of NH OR crossing Toll Plaza besides charging penalty (10 times applicable fee).,31.12.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.74.pdf
17.5.72,Standard public notifices for publication of user fee rates in the Newspapers by the Concessionaire/ NHAI.,21.08.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.72.pdf
17.5.71,Reaches entrusted to NHAI by MoRTH - Traffic Surveys using portable ATCC systems by the agencies of IHMCL- Amendment to the Policy Circular dated 11.3.2015,15.04.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/17.5.71.pdf
